run_id,trial,patch_trigger_ns,validation_complete_ns,scheduled_ns,patch_active_ns,first_protected_request_ns,first_protected_response_ns,rollback_start_ns,rollback_complete_ns,activation_latency_ms,validation_rtt_ms,scheduling_rtt_ms,application_rtt_ms,rollback_latency_ms,protected_response,protected,measurement_scope,pre_activation_warmup_response,task_period_us,task_jitter_us,cpu_load_pct,bus_load_pct,runtime_telemetry_status
patch_activation_20260716_final_firmware,39,543158503342825,543158506117163,543158509991415,543158513862525,543158526807500,543158529607399,543158529656427,543158938022402,10.519700,2.774338,2.770217,2.742281,408.365975,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,40,543160097114717,543160099636860,543160103515932,543160107415257,543160120364911,543160123362179,543160123409112,543160497903363,10.300540,2.522143,2.757296,2.775664,374.494251,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,41,543161661725120,543161664582428,543161668393824,543161672318851,543161685545491,543161688038442,543161688076505,543162050074993,10.593731,2.857308,2.715392,2.815124,361.998488,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,42,543163226723201,543163229468834,543163233374654,543163237303382,543163250217278,543163253020669,543163253059919,543163636561544,10.580181,2.745633,2.796337,2.834540,383.501625,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,43,543164794452800,543164797281542,543164801097688,543164805088364,543164818174835,543164820706757,543164820745937,543165187737447,10.635564,2.828742,2.711481,2.894951,366.991510,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,44,543166347755335,543166350473172,543166354355037,543166358268470,543166371248434,543166374039952,543166374087583,543166744310114,10.513135,2.717837,2.774826,2.789702,370.222531,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,45,543167910665798,543167913590851,543167917349029,543167921384543,543167934045267,543167936943710,543167936991202,543168307875747,10.718745,2.925053,2.649184,2.930570,370.884545,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,46,543169477372774,543169479867750,543169484102099,543169487669473,543169500639730,543169503617931,543169503664305,543169891220993,10.296699,2.494976,3.140719,2.452233,387.556688,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,47,543171051446921,543171054253524,543171058320187,543171061991553,543171075238447,543171077723994,543171077766597,543171479502266,10.544632,2.806603,2.955992,2.561953,401.735669,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,48,543172634135794,543172637139487,543172640813787,543172644731340,543172657836039,543172660396106,543172660446182,543173034334346,10.595546,3.003693,2.557902,2.808908,373.888164,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,49,543174194833619,543174197763420,543174201431015,543174205529385,543174218505369,543174221087575,543174221133530,543174606604850,10.695766,2.929801,2.554829,2.987140,385.471320,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,50,543175765567701,543175768384501,543175772220620,543175776213811,543175789262638,543175791829828,543175791881790,543176157802147,10.646110,2.816800,2.727474,2.885314,365.920357,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,51,543177322115390,543177324874571,543177329077911,543177332677203,543177345634958,543177348409504,543177348459510,543177726244270,10.561813,2.759181,3.026251,2.489808,377.784760,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,52,543178884794425,543178887639021,543178891456563,543178895343806,543178908500187,543178911103904,543178911157890,543179292509674,10.549381,2.844596,2.700027,2.778179,381.351784,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,53,543180448678268,543180451442059,543180455599234,543180459195662,543180472183728,543180474962674,543180475037892,543180855515693,10.517394,2.763791,3.030511,2.488341,380.477801,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,54,543182022604864,543182025574614,543182029268958,543182033244758,543182046288487,543182048868737,543182048920070,543182428597568,10.639894,2.969750,2.571590,2.865409,379.677498,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,55,543183592185988,543183595160069,543183599092079,543183602739700,543183615667702,543183618428770,543183618467811,543184004930854,10.553712,2.974081,2.828114,2.526963,386.463043,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,56,543185164651791,543185167435557,543185171322590,543185175235115,543185188232608,543185190979359,543185191043891,543185574811305,10.583324,2.783766,2.777899,2.812680,383.767414,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
