scenario_id,fleet_size,hotpatch_delivery_success,hotpatch_delivery_delay_h,ota_rollout_duration_days,attack_attempt_level,attack_attempt_rate_per_vehicle_day,rollback_failure_rate,effective_hotpatch_success,ota_only_exposure_vehicle_days,hotpatch_first_exposure_vehicle_days,exposure_reduction_vehicle_days,exposure_reduction_fraction,ota_only_expected_attack_attempts,hotpatch_first_expected_attack_attempts,ota_only_expected_successful_attacks,hotpatch_first_expected_successful_attacks,attack_success_probability,model
FS0197,100,0.85,6,14,high,0.2000,0.01,0.841500,700.000000,131.799665,568.200335,0.811715,140.000000,26.359933,108.360000,20.402588,0.774000,uniform_ota_closed_form_expectation
FS0198,100,0.85,6,14,high,0.2000,0.05,0.807500,700.000000,154.757254,545.242746,0.778918,140.000000,30.951451,108.360000,23.956423,0.774000,uniform_ota_closed_form_expectation
FS0199,100,0.85,6,30,low,0.0100,0.00,0.850000,1500.000000,246.161458,1253.838542,0.835892,15.000000,2.461615,11.610000,1.905290,0.774000,uniform_ota_closed_form_expectation
FS0200,100,0.85,6,30,low,0.0100,0.01,0.841500,1500.000000,258.699844,1241.300156,0.827533,15.000000,2.586998,11.610000,2.002337,0.774000,uniform_ota_closed_form_expectation
FS0201,100,0.85,6,30,low,0.0100,0.05,0.807500,1500.000000,308.853385,1191.146615,0.794098,15.000000,3.088534,11.610000,2.390525,0.774000,uniform_ota_closed_form_expectation
FS0202,100,0.85,6,30,medium,0.0500,0.00,0.850000,1500.000000,246.161458,1253.838542,0.835892,75.000000,12.308073,58.050000,9.526448,0.774000,uniform_ota_closed_form_expectation
FS0203,100,0.85,6,30,medium,0.0500,0.01,0.841500,1500.000000,258.699844,1241.300156,0.827533,75.000000,12.934992,58.050000,10.011684,0.774000,uniform_ota_closed_form_expectation
FS0204,100,0.85,6,30,medium,0.0500,0.05,0.807500,1500.000000,308.853385,1191.146615,0.794098,75.000000,15.442669,58.050000,11.952626,0.774000,uniform_ota_closed_form_expectation
FS0205,100,0.85,6,30,high,0.2000,0.00,0.850000,1500.000000,246.161458,1253.838542,0.835892,300.000000,49.232292,232.200000,38.105794,0.774000,uniform_ota_closed_form_expectation
FS0206,100,0.85,6,30,high,0.2000,0.01,0.841500,1500.000000,258.699844,1241.300156,0.827533,300.000000,51.739969,232.200000,40.046736,0.774000,uniform_ota_closed_form_expectation
FS0207,100,0.85,6,30,high,0.2000,0.05,0.807500,1500.000000,308.853385,1191.146615,0.794098,300.000000,61.770677,232.200000,47.810504,0.774000,uniform_ota_closed_form_expectation
FS0208,100,0.85,6,60,low,0.0100,0.00,0.850000,3000.000000,471.205729,2528.794271,0.842931,30.000000,4.712057,23.220000,3.647132,0.774000,uniform_ota_closed_form_expectation
FS0209,100,0.85,6,60,low,0.0100,0.01,0.841500,3000.000000,496.493672,2503.506328,0.834502,30.000000,4.964937,23.220000,3.842861,0.774000,uniform_ota_closed_form_expectation
FS0210,100,0.85,6,60,low,0.0100,0.05,0.807500,3000.000000,597.645443,2402.354557,0.800785,30.000000,5.976454,23.220000,4.625776,0.774000,uniform_ota_closed_form_expectation
FS0211,100,0.85,6,60,medium,0.0500,0.00,0.850000,3000.000000,471.205729,2528.794271,0.842931,150.000000,23.560286,116.100000,18.235662,0.774000,uniform_ota_closed_form_expectation
FS0212,100,0.85,6,60,medium,0.0500,0.01,0.841500,3000.000000,496.493672,2503.506328,0.834502,150.000000,24.824684,116.100000,19.214305,0.774000,uniform_ota_closed_form_expectation
FS0213,100,0.85,6,60,medium,0.0500,0.05,0.807500,3000.000000,597.645443,2402.354557,0.800785,150.000000,29.882272,116.100000,23.128879,0.774000,uniform_ota_closed_form_expectation
