trial,step,before_latency_ms,after_latency_ms,delta_after_minus_before_ms
68,enter_extended_session,3.036377,3.188353,0.151976
68,read_target_after,3.033444,2.805131,-0.228313
68,read_target_before,3.090854,3.104683,0.013829
68,request_security_seed,3.050694,2.995799,-0.054895
68,send_security_key,3.051114,3.011513,-0.039601
68,session_reset,2.744997,2.838026,0.093029
68,write_target,3.060892,3.279008,0.218116
69,enter_extended_session,3.008301,3.073254,0.064953
69,read_target_after,3.098886,2.840191,-0.258695
69,read_target_before,2.995939,3.109712,0.113773
69,request_security_seed,3.031698,2.974078,-0.057620
69,send_security_key,3.043570,3.000339,-0.043231
69,session_reset,2.875601,2.918623,0.043022
69,write_target,3.017590,3.024295,0.006705
70,enter_extended_session,3.082123,3.021990,-0.060133
70,read_target_after,3.019196,3.056771,0.037575
70,read_target_before,3.064523,3.072206,0.007683
70,request_security_seed,3.050765,3.006904,-0.043861
70,send_security_key,3.064453,3.082753,0.018300
70,session_reset,2.921277,2.974218,0.052941
70,write_target,3.084848,3.063197,-0.021651
71,enter_extended_session,3.012840,3.023038,0.010198
71,read_target_after,3.071926,3.219014,0.147088
71,read_target_before,3.045386,2.987768,-0.057618
71,request_security_seed,3.050066,3.058028,0.007962
71,send_security_key,3.064733,3.162791,0.098058
71,session_reset,2.989374,2.826782,-0.162592
71,write_target,3.039171,3.038822,-0.000349
72,enter_extended_session,2.975196,3.033723,0.058527
72,read_target_after,3.010186,3.013329,0.003143
72,read_target_before,2.810648,3.034073,0.223425
72,request_security_seed,3.029184,2.783061,-0.246123
72,send_security_key,3.092600,3.052371,-0.040229
72,session_reset,3.016891,2.731517,-0.285374
72,write_target,3.058587,3.029603,-0.028984
73,enter_extended_session,3.079819,2.995171,-0.084648
73,read_target_after,3.085476,3.050485,-0.034991
73,read_target_before,3.027438,3.030581,0.003143
73,request_security_seed,3.107057,3.018568,-0.088489
73,send_security_key,3.053628,3.092670,0.039042
73,session_reset,2.877068,2.950821,0.073753
73,write_target,3.080657,3.059355,-0.021302
74,enter_extended_session,2.966046,3.056072,0.090026
74,read_target_after,3.069413,3.045945,-0.023468
74,read_target_before,2.890268,2.767067,-0.123201
74,request_security_seed,3.068853,3.037984,-0.030869
74,send_security_key,3.108384,3.314697,0.206313
