run_id,trial,patch_trigger_ns,validation_complete_ns,scheduled_ns,patch_active_ns,first_protected_request_ns,first_protected_response_ns,rollback_start_ns,rollback_complete_ns,activation_latency_ms,validation_rtt_ms,scheduling_rtt_ms,application_rtt_ms,rollback_latency_ms,protected_response,protected,measurement_scope,pre_activation_warmup_response,task_period_us,task_jitter_us,cpu_load_pct,bus_load_pct,runtime_telemetry_status
patch_activation_20260710,75,2613570290753,2613573247003,2613576682155,2613580614229,2613593564371,2613596318779,2613596368645,2613978403089,10.323476,2.956250,2.341994,2.833259,382.034444,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,76,2615123754450,2615126534629,2615130417116,2615134324885,2615147248418,2615150070502,2615150121137,2615534613868,10.570435,2.780179,2.771239,2.801969,384.492731,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,77,2616692186732,2616695023273,2616698961563,2616702831199,2616715719672,2616718572067,2616718626893,2617106802648,10.644467,2.836541,2.778852,2.787442,388.175755,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,78,2618245318869,2618248258775,2618252056405,2618255932745,2618268831415,2618271589455,2618271635061,2618672309929,10.613876,2.939906,2.699024,2.765442,400.674868,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,79,2619814645097,2619817414660,2619821273052,2619825194580,2619838213727,2619840842350,2619840876782,2620237442394,10.549483,2.769563,2.758877,2.817614,396.565612,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,80,2621384048595,2621386772971,2621390644911,2621394564205,2621407493605,2621410250108,2621410300953,2621791843881,10.515610,2.724376,2.767747,2.809024,381.542928,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,81,2622940654015,2622943373642,2622947252287,2622951208806,2622964130594,2622966899110,2622966949326,2623372898920,10.554791,2.719627,2.784439,2.846808,405.949594,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,82,2624508278348,2624511083391,2624514958474,2624518908847,2624531770991,2624534591259,2624534632675,2624940597219,10.630499,2.805043,2.775709,2.830535,405.964544,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,83,2626082035132,2626084859800,2626088758421,2626092666819,2626105546423,2626108432342,2626108483606,2626511142072,10.631687,2.824668,2.787792,2.796103,402.658466,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,84,2627654659880,2627657396618,2627661247956,2627665191275,2627678050555,2627680832131,2627680880182,2628064342167,10.531395,2.736738,2.746167,2.836402,383.461985,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,85,2629203042328,2629206074425,2629209694239,2629213602358,2629226523937,2629229317945,2629229368999,2629612819466,10.560030,3.032097,2.509893,2.801062,383.450467,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
