vehicle_id,hotpatch_capable,ota_only_protected_min,hotpatch_first_protected_min,exposure_reduction_min,ota_only_ota_finished_min,hotpatch_first_ota_finished_min
vehicle-0393,true,11446,790,10656,11446,11446
vehicle-0394,true,11534,812,10722,11534,11534
vehicle-0395,true,11488,674,10814,11488,11488
vehicle-0396,true,11414,543,10871,11414,11414
vehicle-0397,true,11440,674,10766,11440,11440
vehicle-0398,true,11444,483,10961,11444,11444
vehicle-0399,true,11485,366,11119,11485,11485
vehicle-0400,true,10113,459,9654,10113,10113
vehicle-0401,true,11467,702,10765,11467,11467
vehicle-0402,true,11408,693,10715,11408,11408
vehicle-0403,true,11397,341,11056,11397,11397
vehicle-0404,true,11529,676,10853,11529,11529
vehicle-0405,true,11422,443,10979,11422,11422
vehicle-0406,true,11429,668,10761,11429,11429
vehicle-0407,true,11436,446,10990,11436,11436
vehicle-0408,true,11530,417,11113,11530,11530
vehicle-0409,true,11469,536,10933,11469,11469
vehicle-0410,true,11414,1160,10254,11414,11414
vehicle-0411,true,11441,436,11005,11441,11441
vehicle-0412,true,11464,561,10903,11464,11464
vehicle-0413,true,11415,514,10901,11415,11415
vehicle-0414,true,11389,655,10734,11389,11389
vehicle-0415,true,11434,627,10807,11434,11434
vehicle-0416,true,12915,408,12507,12915,12915
vehicle-0417,true,11499,941,10558,11499,11499
vehicle-0418,true,12831,516,12315,12831,12831
vehicle-0419,true,11514,470,11044,11514,11514
vehicle-0420,true,11465,616,10849,11465,11465
vehicle-0421,true,11460,782,10678,11460,11460
vehicle-0422,true,11499,520,10979,11499,11499
vehicle-0423,true,11467,730,10737,11467,11467
vehicle-0424,true,11474,469,11005,11474,11474
vehicle-0425,true,11479,469,11010,11479,11479
vehicle-0426,true,11481,691,10790,11481,11481
vehicle-0427,true,11486,739,10747,11486,11486
vehicle-0428,true,11520,654,10866,11520,11520
vehicle-0429,true,11505,723,10782,11505,11505
vehicle-0430,true,11509,448,11061,11509,11509
vehicle-0431,true,11512,572,10940,11512,11512
vehicle-0432,true,11510,472,11038,11510,11510
vehicle-0433,true,12907,427,12480,12907,12907
vehicle-0434,true,12861,531,12330,12861,12861
vehicle-0435,true,11521,485,11036,11521,11521
vehicle-0436,true,11519,697,10822,11519,11519
vehicle-0437,true,12887,731,12156,12887,12887
vehicle-0438,true,11524,658,10866,11524,11524
vehicle-0439,true,12853,402,12451,12853,12853
vehicle-0440,true,11526,524,11002,11526,11526
vehicle-0441,true,11530,418,11112,11530,11530
vehicle-0442,true,12871,583,12288,12871,12871
vehicle-0443,true,12875,443,12432,12875,12875
vehicle-0444,true,11531,990,10541,11531,11531
vehicle-0445,true,11544,737,10807,11544,11544
vehicle-0446,true,11550,462,11088,11550,11550
vehicle-0447,true,12954,460,12494,12954,12954
vehicle-0448,true,12883,1149,11734,12883,12883
vehicle-0449,true,12890,487,12403,12890,12890
vehicle-0450,true,12881,580,12301,12881,12881
vehicle-0451,true,12949,1039,11910,12949,12949
vehicle-0452,true,12849,619,12230,12849,12849
vehicle-0453,true,12900,674,12226,12900,12900
vehicle-0454,true,12905,701,12204,12905,12905
vehicle-0455,true,11554,410,11144,11554,11554
vehicle-0456,true,11555,930,10625,11555,11555
vehicle-0457,true,12907,479,12428,12907,12907
vehicle-0458,true,12911,722,12189,12911,12911
vehicle-0459,true,12958,478,12480,12958,12958
vehicle-0460,true,12848,769,12079,12848,12848
vehicle-0461,true,11564,1014,10550,11564,11564
vehicle-0462,true,12933,985,11948,12933,12933
vehicle-0463,true,12849,696,12153,12849,12849
vehicle-0464,true,12911,462,12449,12911,12911
vehicle-0465,true,12901,765,12136,12901,12901
vehicle-0466,true,12852,440,12412,12852,12852
vehicle-0467,true,12896,618,12278,12896,12896
vehicle-0468,true,11569,731,10838,11569,11569
vehicle-0469,true,12922,611,12311,12922,12922
vehicle-0470,true,11576,918,10658,11576,11576
vehicle-0471,true,12846,610,12236,12846,12846
vehicle-0472,true,12850,397,12453,12850,12850
vehicle-0473,true,12871,477,12394,12871,12871
vehicle-0474,true,12896,676,12220,12896,12896
vehicle-0475,true,12927,514,12413,12927,12927
vehicle-0476,true,12895,442,12453,12895,12895
vehicle-0477,true,14320,1177,13143,14320,14320
vehicle-0478,true,12897,446,12451,12897,12897
vehicle-0479,true,12916,529,12387,12916,12916
vehicle-0480,true,14315,559,13756,14315,14315
vehicle-0481,true,12965,400,12565,12965,12965
vehicle-0482,true,12928,755,12173,12928,12928
vehicle-0483,true,12935,936,11999,12935,12935
vehicle-0484,true,12944,541,12403,12944,12944
vehicle-0485,true,12940,1082,11858,12940,12940
vehicle-0486,true,14299,459,13840,14299,14299
vehicle-0487,true,14374,547,13827,14374,14374
vehicle-0488,true,14414,470,13944,14414,14414
vehicle-0489,true,14277,542,13735,14277,14277
vehicle-0490,true,12942,569,12373,12942,12942
vehicle-0491,true,12941,564,12377,12941,12941
vehicle-0492,true,12946,454,12492,12946,12946
vehicle-0493,true,12950,397,12553,12950,12950
vehicle-0494,true,14319,573,13746,14319,14319
vehicle-0495,true,14349,644,13705,14349,14349
vehicle-0496,true,14272,577,13695,14272,14272
vehicle-0497,true,12952,892,12060,12952,12952
vehicle-0498,true,12956,909,12047,12956,12956
vehicle-0499,true,12956,948,12008,12956,12956
vehicle-0500,true,14337,844,13493,14337,14337
vehicle-0501,true,14375,1032,13343,14375,14375
vehicle-0502,true,14366,458,13908,14366,14366
vehicle-0503,true,12961,476,12485,12961,12961
vehicle-0504,true,12967,877,12090,12967,12967
vehicle-0505,true,14322,1050,13272,14322,14322
vehicle-0506,true,12972,421,12551,12972,12972
vehicle-0507,true,14412,522,13890,14412,14412
vehicle-0508,true,14415,662,13753,14415,14415
vehicle-0509,true,14343,530,13813,14343,14343
vehicle-0510,true,14401,683,13718,14401,14401
vehicle-0511,true,14340,910,13430,14340,14340
vehicle-0512,true,12985,720,12265,12985,12985
vehicle-0513,true,14302,513,13789,14302,14302
vehicle-0514,true,14300,930,13370,14300,14300
vehicle-0515,true,14367,456,13911,14367,14367
vehicle-0516,true,12986,422,12564,12986,12986
vehicle-0517,true,12987,531,12456,12987,12987
vehicle-0518,true,14293,520,13773,14293,14293
vehicle-0519,true,14358,772,13586,14358,14358
vehicle-0520,true,14291,477,13814,14291,14291
vehicle-0521,true,14322,759,13563,14322,14322
vehicle-0522,true,14268,628,13640,14268,14268
vehicle-0523,true,14400,1009,13391,14400,14400
vehicle-0524,true,12989,416,12573,12989,12989
vehicle-0525,true,14414,438,13976,14414,14414
vehicle-0526,true,14394,1078,13316,14394,14394
vehicle-0527,true,14277,1174,13103,14277,14277
vehicle-0528,true,14358,381,13977,14358,14358
vehicle-0529,true,13006,493,12513,13006,13006
vehicle-0530,true,14364,456,13908,14364,14364
vehicle-0531,true,14399,962,13437,14399,14399
vehicle-0532,true,14289,749,13540,14289,14289
vehicle-0533,true,14383,451,13932,14383,14383
vehicle-0534,true,14286,862,13424,14286,14286
vehicle-0535,true,14352,1055,13297,14352,14352
vehicle-0536,true,14411,448,13963,14411,14411
vehicle-0537,true,14334,744,13590,14334,14334
vehicle-0538,true,13030,520,12510,13030,13030
vehicle-0539,true,14396,513,13883,14396,14396
vehicle-0540,true,14362,925,13437,14362,14362
vehicle-0541,true,14396,793,13603,14396,14396
vehicle-0542,true,14321,557,13764,14321,14321
vehicle-0543,true,15776,445,15331,15776,15776
vehicle-0544,true,14410,527,13883,14410,14410
vehicle-0545,true,15792,643,15149,15792,15792
vehicle-0546,true,14398,1072,13326,14398,14398
vehicle-0547,true,14371,1024,13347,14371,14371
vehicle-0548,true,14407,906,13501,14407,14407
vehicle-0549,true,15763,402,15361,15763,15763
vehicle-0550,true,14409,455,13954,14409,14409
vehicle-0551,true,15768,614,15154,15768,15768
vehicle-0552,true,15757,901,14856,15757,15757
vehicle-0553,true,15814,765,15049,15814,15814
vehicle-0554,true,14412,671,13741,14412,14412
vehicle-0555,true,15719,524,15195,15719,15719
vehicle-0556,true,15815,622,15193,15815,15815
vehicle-0557,true,14416,388,14028,14416,14416
vehicle-0558,true,15779,442,15337,15779,15779
vehicle-0559,true,15709,749,14960,15709,15709
vehicle-0560,true,15783,667,15116,15783,15783
vehicle-0561,true,15753,556,15197,15753,15753
vehicle-0562,true,15730,476,15254,15730,15730
vehicle-0563,true,14428,460,13968,14428,14428
vehicle-0564,true,15752,415,15337,15752,15752
vehicle-0565,true,14441,448,13993,14441,14441
vehicle-0566,true,15770,603,15167,15770,15770
vehicle-0567,true,15773,442,15331,15773,15773
vehicle-0568,true,15830,535,15295,15830,15830
vehicle-0569,true,15768,508,15260,15768,15768
vehicle-0570,true,15816,519,15297,15816,15816
