time_min,time_hour,strategy,vulnerable_vehicle_count
10860,181.000,ota_only,616
10890,181.500,ota_only,616
10920,182.000,ota_only,616
10950,182.500,ota_only,616
10980,183.000,ota_only,616
11010,183.500,ota_only,616
11040,184.000,ota_only,616
11070,184.500,ota_only,616
11100,185.000,ota_only,616
11130,185.500,ota_only,616
11160,186.000,ota_only,616
11190,186.500,ota_only,616
11220,187.000,ota_only,616
11250,187.500,ota_only,616
11280,188.000,ota_only,616
11310,188.500,ota_only,616
11340,189.000,ota_only,616
11370,189.500,ota_only,616
11400,190.000,ota_only,611
11430,190.500,ota_only,604
11460,191.000,ota_only,596
11490,191.500,ota_only,582
11520,192.000,ota_only,571
11550,192.500,ota_only,561
11580,193.000,ota_only,556
11610,193.500,ota_only,556
11640,194.000,ota_only,556
11670,194.500,ota_only,556
11700,195.000,ota_only,556
11730,195.500,ota_only,556
11760,196.000,ota_only,556
11790,196.500,ota_only,556
11820,197.000,ota_only,556
11850,197.500,ota_only,556
11880,198.000,ota_only,556
11910,198.500,ota_only,556
11940,199.000,ota_only,556
11970,199.500,ota_only,556
12000,200.000,ota_only,556
12030,200.500,ota_only,556
12060,201.000,ota_only,556
12090,201.500,ota_only,556
12120,202.000,ota_only,556
12150,202.500,ota_only,556
12180,203.000,ota_only,556
12210,203.500,ota_only,556
12240,204.000,ota_only,556
12270,204.500,ota_only,556
12300,205.000,ota_only,556
12330,205.500,ota_only,556
12360,206.000,ota_only,556
12390,206.500,ota_only,556
12420,207.000,ota_only,556
12450,207.500,ota_only,556
12480,208.000,ota_only,556
12510,208.500,ota_only,556
12540,209.000,ota_only,556
12570,209.500,ota_only,556
12600,210.000,ota_only,556
12630,210.500,ota_only,556
12660,211.000,ota_only,556
12690,211.500,ota_only,556
12720,212.000,ota_only,556
12750,212.500,ota_only,556
12780,213.000,ota_only,556
12810,213.500,ota_only,556
12840,214.000,ota_only,555
12870,214.500,ota_only,547
12900,215.000,ota_only,535
12930,215.500,ota_only,524
12960,216.000,ota_only,510
12990,216.500,ota_only,502
13020,217.000,ota_only,501
13050,217.500,ota_only,500
13080,218.000,ota_only,500
13110,218.500,ota_only,500
13140,219.000,ota_only,500
13170,219.500,ota_only,500
13200,220.000,ota_only,500
13230,220.500,ota_only,500
13260,221.000,ota_only,500
13290,221.500,ota_only,500
13320,222.000,ota_only,500
13350,222.500,ota_only,500
13380,223.000,ota_only,500
13410,223.500,ota_only,500
13440,224.000,ota_only,500
13470,224.500,ota_only,500
13500,225.000,ota_only,500
13530,225.500,ota_only,500
13560,226.000,ota_only,500
13590,226.500,ota_only,500
13620,227.000,ota_only,500
13650,227.500,ota_only,500
13680,228.000,ota_only,500
13710,228.500,ota_only,500
13740,229.000,ota_only,500
13770,229.500,ota_only,500
13800,230.000,ota_only,500
13830,230.500,ota_only,500
13860,231.000,ota_only,500
13890,231.500,ota_only,500
13920,232.000,ota_only,500
13950,232.500,ota_only,500
13980,233.000,ota_only,500
14010,233.500,ota_only,500
14040,234.000,ota_only,500
14070,234.500,ota_only,500
14100,235.000,ota_only,500
14130,235.500,ota_only,500
14160,236.000,ota_only,500
14190,236.500,ota_only,500
14220,237.000,ota_only,500
14250,237.500,ota_only,500
14280,238.000,ota_only,496
14310,238.500,ota_only,489
14340,239.000,ota_only,480
14370,239.500,ota_only,471
14400,240.000,ota_only,461
14430,240.500,ota_only,449
14460,241.000,ota_only,447
14490,241.500,ota_only,447
14520,242.000,ota_only,447
14550,242.500,ota_only,447
14580,243.000,ota_only,447
14610,243.500,ota_only,447
14640,244.000,ota_only,447
14670,244.500,ota_only,447
14700,245.000,ota_only,447
14730,245.500,ota_only,447
14760,246.000,ota_only,447
14790,246.500,ota_only,447
14820,247.000,ota_only,447
14850,247.500,ota_only,447
14880,248.000,ota_only,447
14910,248.500,ota_only,447
14940,249.000,ota_only,447
14970,249.500,ota_only,447
15000,250.000,ota_only,447
15030,250.500,ota_only,447
15060,251.000,ota_only,447
15090,251.500,ota_only,447
15120,252.000,ota_only,447
15150,252.500,ota_only,447
15180,253.000,ota_only,447
15210,253.500,ota_only,447
15240,254.000,ota_only,447
15270,254.500,ota_only,447
15300,255.000,ota_only,447
15330,255.500,ota_only,447
15360,256.000,ota_only,447
15390,256.500,ota_only,447
15420,257.000,ota_only,447
15450,257.500,ota_only,447
15480,258.000,ota_only,447
15510,258.500,ota_only,447
15540,259.000,ota_only,447
15570,259.500,ota_only,447
15600,260.000,ota_only,447
15630,260.500,ota_only,447
15660,261.000,ota_only,447
15690,261.500,ota_only,447
15720,262.000,ota_only,444
15750,262.500,ota_only,438
15780,263.000,ota_only,425
15810,263.500,ota_only,414
15840,264.000,ota_only,404
15870,264.500,ota_only,394
15900,265.000,ota_only,391
15930,265.500,ota_only,391
15960,266.000,ota_only,391
15990,266.500,ota_only,391
16020,267.000,ota_only,391
16050,267.500,ota_only,391
16080,268.000,ota_only,391
16110,268.500,ota_only,391
16140,269.000,ota_only,391
16170,269.500,ota_only,391
16200,270.000,ota_only,391
16230,270.500,ota_only,391
16260,271.000,ota_only,391
16290,271.500,ota_only,391
16320,272.000,ota_only,391
16350,272.500,ota_only,391
16380,273.000,ota_only,391
16410,273.500,ota_only,391
16440,274.000,ota_only,391
16470,274.500,ota_only,391
16500,275.000,ota_only,391
16530,275.500,ota_only,391
16560,276.000,ota_only,391
16590,276.500,ota_only,391
16620,277.000,ota_only,391
16650,277.500,ota_only,391
16680,278.000,ota_only,391
16710,278.500,ota_only,391
16740,279.000,ota_only,391
16770,279.500,ota_only,391
16800,280.000,ota_only,391
16830,280.500,ota_only,391
