source_line,timestamp_us,can_id_hex,dlc,data_hex,uds_payload_hex
1288,51489366,0x7E8,8,037F2E3100000000,7F2E31
1289,51509676,0x7E0,8,042E1001BD000000,2E1001BD
1290,51513772,0x7E8,8,037F2E3100000000,7F2E31
1291,51534091,0x7E0,8,072E1234277535B9,2E1234277535B9
1292,51538170,0x7E8,8,037F2E3100000000,7F2E31
1293,51558452,0x7E0,8,072E12342D136A43,2E12342D136A43
1294,51562531,0x7E8,8,037F2E3100000000,7F2E31
1295,51582933,0x7E0,8,042E12340E000000,2E12340E
1296,51587026,0x7E8,8,037F2E3100000000,7F2E31
1297,51607284,0x7E0,8,042E123402000000,2E123402
1298,51611378,0x7E8,8,037F2E3100000000,7F2E31
1299,51631672,0x7E0,8,032E123400000000,2E1234
1300,51635767,0x7E8,8,037F2E3100000000,7F2E31
1301,51655968,0x7E0,8,052E123459B10000,2E123459B1
1302,51660053,0x7E8,8,037F2E3100000000,7F2E31
1303,51680354,0x7E0,8,042E100119000000,2E100119
1304,51684449,0x7E8,8,037F2E3100000000,7F2E31
1305,51704779,0x7E0,8,062E12346768DF00,2E12346768DF
1306,51708859,0x7E8,8,037F2E3100000000,7F2E31
1307,51729381,0x7E0,8,032E123400000000,2E1234
1308,51733475,0x7E8,8,037F2E3100000000,7F2E31
1309,51753578,0x7E0,8,062E12344D62C300,2E12344D62C3
1310,51757660,0x7E8,8,037F2E3100000000,7F2E31
1311,51777940,0x7E0,8,072E1234B5997E2C,2E1234B5997E2C
1312,51782015,0x7E8,8,037F2E3100000000,7F2E31
1313,51802340,0x7E0,8,072E1234DC71CB81,2E1234DC71CB81
1314,51806418,0x7E8,8,037F2E3100000000,7F2E31
1315,51826667,0x7E0,8,072E123427F93FFB,2E123427F93FFB
1316,51830748,0x7E8,8,037F2E3100000000,7F2E31
1317,51851135,0x7E0,8,072E1234015FF650,2E1234015FF650
1318,51855218,0x7E8,8,037F2E3100000000,7F2E31
1319,51875761,0x7E0,8,072E1234A1516556,2E1234A1516556
1320,51879838,0x7E8,8,037F2E3100000000,7F2E31
