trial,step,before_latency_ms,after_latency_ms,delta_after_minus_before_ms
50,write_target,3.052305,3.283824,0.231519
51,enter_extended_session,3.171872,2.856541,-0.315331
51,read_target_after,2.789705,2.872325,0.082620
51,read_target_before,3.371825,3.056634,-0.315191
51,request_security_seed,2.804232,3.004882,0.200650
51,send_security_key,2.879450,3.241361,0.361911
51,session_reset,3.011937,2.741235,-0.270702
51,write_target,2.938396,2.676772,-0.261624
52,enter_extended_session,3.085968,3.332573,0.246605
52,read_target_after,3.177040,3.049720,-0.127320
52,read_target_before,2.978973,3.038685,0.059712
52,request_security_seed,3.259941,3.020875,-0.239066
52,send_security_key,2.871767,2.879309,0.007542
52,session_reset,2.942796,2.694302,-0.248494
52,write_target,2.882733,3.299119,0.416386
53,enter_extended_session,2.891742,3.091554,0.199812
53,read_target_after,2.738373,2.948940,0.210567
53,read_target_before,3.211122,3.150429,-0.060693
53,request_security_seed,2.989309,3.047694,0.058385
53,send_security_key,2.847603,3.241431,0.393828
53,session_reset,2.956693,2.721120,-0.235573
53,write_target,2.943284,2.838522,-0.104762
54,enter_extended_session,3.109714,3.096513,-0.013201
54,read_target_after,3.208328,3.074792,-0.133536
54,read_target_before,2.440364,2.870579,0.430215
54,request_security_seed,3.177599,3.039104,-0.138495
54,send_security_key,3.076330,2.851792,-0.224538
54,session_reset,2.682989,2.903684,0.220695
54,write_target,2.901729,3.049441,0.147712
55,enter_extended_session,2.877704,3.013681,0.135977
55,read_target_after,3.051327,2.857170,-0.194157
55,read_target_before,3.050559,3.050768,0.000209
55,request_security_seed,3.091625,3.129268,0.037643
55,send_security_key,3.265109,2.878402,-0.386707
55,session_reset,2.864923,2.829653,-0.035270
55,write_target,2.843762,2.997340,0.153578
56,enter_extended_session,3.048953,3.005092,-0.043861
56,read_target_after,3.228024,2.961651,-0.266373
56,read_target_before,2.983233,2.808002,-0.175231
56,request_security_seed,3.117816,3.003974,-0.113842
56,send_security_key,3.102171,3.074513,-0.027658
56,session_reset,2.789147,2.962838,0.173691
56,write_target,3.042109,3.174175,0.132066
57,enter_extended_session,3.021296,2.824415,-0.196881
57,read_target_after,2.670976,2.840617,0.169641
57,read_target_before,2.850886,2.815195,-0.035691
57,request_security_seed,3.140234,3.402204,0.261970
