vehicle_id,hotpatch_capable,ota_only_protected_min,hotpatch_first_protected_min,exposure_reduction_min,ota_only_ota_finished_min,hotpatch_first_ota_finished_min
vehicle-0257,true,7203,434,6769,7203,7203
vehicle-0258,true,7074,786,6288,7074,7074
vehicle-0259,true,7132,426,6706,7132,7132
vehicle-0260,true,7151,1019,6132,7151,7151
vehicle-0261,true,7120,567,6553,7120,7120
vehicle-0262,true,7163,442,6721,7163,7163
vehicle-0263,true,7165,464,6701,7165,7165
vehicle-0264,true,7195,844,6351,7195,7195
vehicle-0265,true,7184,695,6489,7184,7184
vehicle-0266,true,8575,544,8031,8575,8575
vehicle-0267,true,7178,1117,6061,7178,7178
vehicle-0268,true,7177,746,6431,7177,7177
vehicle-0269,true,7180,431,6749,7180,7180
vehicle-0270,true,8652,527,8125,8652,8652
vehicle-0271,true,8561,467,8094,8561,8561
vehicle-0272,true,8604,935,7669,8604,8604
vehicle-0273,true,8544,859,7685,8544,8544
vehicle-0274,true,7196,524,6672,7196,7196
vehicle-0275,true,7199,601,6598,7199,7199
vehicle-0276,true,7210,604,6606,7210,7210
vehicle-0277,true,8534,1073,7461,8534,8534
vehicle-0278,true,8644,702,7942,8644,8644
vehicle-0279,true,7208,1021,6187,7208,7208
vehicle-0280,true,8524,708,7816,8524,8524
vehicle-0281,true,8650,444,8206,8650,8650
vehicle-0282,true,7210,628,6582,7210,7210
vehicle-0283,true,7212,612,6600,7212,7212
vehicle-0284,true,7221,974,6247,7221,7221
vehicle-0285,true,7222,838,6384,7222,7222
vehicle-0286,true,8522,894,7628,8522,8522
vehicle-0287,true,8547,561,7986,8547,8547
vehicle-0288,true,8517,979,7538,8517,8517
vehicle-0289,true,8592,738,7854,8592,8592
vehicle-0290,true,7223,574,6649,7223,7223
vehicle-0291,true,8646,567,8079,8646,8646
vehicle-0292,true,7225,780,6445,7225,7225
vehicle-0293,true,7229,869,6360,7229,7229
vehicle-0294,true,8636,428,8208,8636,8636
vehicle-0295,true,8568,467,8101,8568,8568
vehicle-0296,true,8599,432,8167,8599,8599
vehicle-0297,true,8597,1056,7541,8597,8597
vehicle-0298,true,7240,593,6647,7240,7240
vehicle-0299,true,8605,768,7837,8605,8605
vehicle-0300,true,8534,531,8003,8534,8534
vehicle-0301,true,8607,533,8074,8607,8607
vehicle-0302,true,7241,726,6515,7241,7241
vehicle-0303,true,7244,516,6728,7244,7244
vehicle-0304,true,8506,673,7833,8506,8506
vehicle-0305,true,8579,649,7930,8579,8579
vehicle-0306,true,8547,707,7840,8547,8547
vehicle-0307,true,8528,535,7993,8528,8528
vehicle-0308,true,8555,557,7998,8555,8555
vehicle-0309,true,8541,635,7906,8541,8541
vehicle-0310,true,8652,394,8258,8652,8652
vehicle-0311,true,8622,463,8159,8622,8622
vehicle-0312,true,8510,522,7988,8510,8510
vehicle-0313,true,8510,467,8043,8510,8510
vehicle-0314,true,7253,475,6778,7253,7253
vehicle-0315,true,8612,869,7743,8612,8612
vehicle-0316,true,8654,516,8138,8654,8654
vehicle-0317,true,8507,486,8021,8507,8507
vehicle-0318,true,8623,647,7976,8623,8623
vehicle-0319,true,8622,859,7763,8622,8622
vehicle-0320,true,7255,419,6836,7255,7255
vehicle-0321,true,8650,716,7934,8650,8650
vehicle-0322,true,8587,663,7924,8587,8587
vehicle-0323,true,8631,444,8187,8631,8631
vehicle-0324,true,8594,561,8033,8594,8594
vehicle-0325,true,8508,463,8045,8508,8508
vehicle-0326,true,8507,602,7905,8507,8507
vehicle-0327,true,8552,549,8003,8552,8552
vehicle-0328,true,8566,529,8037,8566,8566
vehicle-0329,true,8573,355,8218,8573,8573
vehicle-0330,true,8552,461,8091,8552,8552
vehicle-0331,true,8597,714,7883,8597,8597
vehicle-0332,true,8645,599,8046,8645,8645
vehicle-0333,true,10059,558,9501,10059,10059
vehicle-0334,true,8651,540,8111,8651,8651
vehicle-0335,true,8597,594,8003,8597,8597
vehicle-0336,true,8611,446,8165,8611,8611
vehicle-0337,true,8655,516,8139,8655,8655
vehicle-0338,true,8625,517,8108,8625,8625
vehicle-0339,true,8642,412,8230,8642,8642
vehicle-0340,true,8642,516,8126,8642,8642
vehicle-0341,true,9982,515,9467,9982,9982
vehicle-0342,true,8656,826,7830,8656,8656
vehicle-0343,true,10002,511,9491,10002,10002
vehicle-0344,true,10071,476,9595,10071,10071
vehicle-0345,true,8657,1148,7509,8657,8657
vehicle-0346,true,10070,547,9523,10070,10070
vehicle-0347,true,9995,511,9484,9995,9995
vehicle-0348,true,10017,904,9113,10017,10017
vehicle-0349,true,8667,687,7980,8667,8667
vehicle-0350,true,9967,490,9477,9967,9967
vehicle-0351,true,10021,458,9563,10021,10021
vehicle-0352,true,10034,606,9428,10034,10034
vehicle-0353,true,10061,612,9449,10061,10061
vehicle-0354,true,10043,816,9227,10043,10043
vehicle-0355,true,8667,725,7942,8667,8667
vehicle-0356,true,9980,542,9438,9980,9980
vehicle-0357,true,8668,546,8122,8668,8668
vehicle-0358,true,10067,501,9566,10067,10067
vehicle-0359,true,10068,895,9173,10068,10068
vehicle-0360,true,10006,391,9615,10006,10006
vehicle-0361,true,10071,485,9586,10071,10071
vehicle-0362,true,10022,944,9078,10022,10022
vehicle-0363,true,8670,540,8130,8670,8670
vehicle-0364,true,10079,490,9589,10079,10079
vehicle-0365,true,9969,474,9495,9969,9969
vehicle-0366,true,10018,542,9476,10018,10018
vehicle-0367,true,10093,522,9571,10093,10093
vehicle-0368,true,9957,500,9457,9957,9957
vehicle-0369,true,9981,647,9334,9981,9981
